,Actor Name,Profit,Movies
0,Samuel L. Jackson,"$16,338,817,882","The Avengers,Avengers: Age of Ultron,Incredibles 2,Spider-Man: Far from Home,Captain Marvel,Jurassic Park,Star Wars: Episode III - Revenge of the Sith,Captain America: The Winter Soldier,Star Wars: Episode II - Attack of the Clones,The Incredibles,Iron Man 2,Kong: Skull Island,Django Unchained,Kingsman: The Secret Service,Captain America: The First Avenger,Die Hard with a Vengeance,The Legend of Tarzan,xXx: Return of Xander Cage,Miss Peregrine's Home for Peculiar Children,Coming to America,Turbo,xXx,Unbreakable,Glass,Jumper,Pulp Fiction,S.W.A.T.,Patriot Games"
1,Robert Downey Jr.,"$13,952,302,902","Avengers: Endgame,Avengers: Infinity War,The Avengers,Avengers: Age of Ultron,Iron Man 3,Captain America: Civil War,Spider-Man: Homecoming,Iron Man 2,Iron Man,Sherlock Holmes: A Game of Shadows,Sherlock Holmes,Dolittle,Due Date,Tropic Thunder"
2,Benedict Cumberbatch,"$13,508,189,548","Avengers: Endgame,Avengers: Infinity War,Spider-Man: No Way Home,The Hobbit: The Battle of the Five Armies,The Hobbit: The Desolation of Smaug,Doctor Strange in the Multiverse of Madness,Thor: Ragnarok,Doctor Strange,The Grinch,Star Trek Into Darkness,1917,Penguins of Madagascar,The Imitation Game,12 Years a Slave,War Horse"
3,Scarlett Johansson,"$13,473,169,463","Avengers: Endgame,Avengers: Infinity War,The Avengers,Avengers: Age of Ultron,Captain America: Civil War,The Jungle Book,Captain America: The Winter Soldier,Sing,Iron Man 2,Lucy,Sing 2,Black Widow,The Horse Whisperer,He's Just Not That Into You"
4,Alan Tudyk,"$12,357,426,928","Frozen II,Frozen II,Frozen,Transformers: Dark of the Moon,Rogue One: A Star Wars Story,Zootopia,Ice Age: Continental Drift,Big Hero 6,Moana,Ralph Breaks the Internet,Wreck-It Ralph,Ice Age,Alvin and the Chipmunks: Chipwrecked,Maze Runner: The Scorch Trials,Lincoln,Encanto,Knocked Up"
5,Idris Elba,"$11,767,250,635","Avengers: Infinity War,Avengers: Age of Ultron,Finding Dory,Zootopia,The Jungle Book,Thor: Ragnarok,Thor: Love and Thunder,Fast & Furious Presents: Hobbs & Shaw,Thor: The Dark World,Thor,Pacific Rim,Prometheus,Sonic the Hedgehog 2,Star Trek Beyond,American Gangster"
6,Chris Hemsworth,"$11,741,117,528","Avengers: Endgame,Avengers: Infinity War,The Avengers,Avengers: Age of Ultron,Thor: Ragnarok,Thor: Love and Thunder,Thor: The Dark World,Thor,Snow White and the Huntsman,Star Trek,Men in Black: International,Ghostbusters"
7,Zoe Saldaña,"$11,434,686,068","Avatar,Avengers: Endgame,Avengers: Infinity War,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy,Pirates of the Caribbean: The Curse of the Black Pearl,Star Trek Into Darkness,Star Trek,Star Trek Beyond,The Terminal"
8,Andy Serkis,"$11,305,428,948","Star Wars: Episode VII - The Force Awakens,Black Panther,Star Wars: Episode VIII - The Last Jedi,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Batman,Dawn of the Planet of the Apes,King Kong,War for the Planet of the Apes,Rise of the Planet of the Apes,The Adventures of Tintin,Flushed Away"
9,Chris Evans,"$11,179,294,976","Avengers: Endgame,Avengers: Infinity War,The Avengers,Avengers: Age of Ultron,Captain America: Civil War,Captain America: The Winter Soldier,Captain America: The First Avenger,Fantastic Four,Knives Out,Fantastic Four: Rise of the Silver Surfer,Lightyear"
