1,Avatar,2009,$2881837181
2,Avengers: Endgame,2019,$2797501328
3,Titanic,1997,$2201647264
4,Star Wars: Episode VII - The Force Awakens,2015,$2069521700
5,Avengers: Infinity War,2018,$2048359754
6,Spider-Man: No Way Home,2021,$1915999807
7,Jurassic World,2015,$1671537444
8,The Lion King,2019,$1663250487
9,The Avengers,2012,$1518815515
10,Furious 7,2015,$1515341399
11,Top Gun: Maverick,2022,$1472292161
12,Frozen II,2019,$1450026933
13,Avengers: Age of Ultron,2015,$1402809540
14,Black Panther,2018,$1347597973
15,Harry Potter and the Deathly Hallows: Part 2,2011,$1342359942
16,Star Wars: Episode VIII - The Last Jedi,2017,$1332698830
17,Jurassic World: Fallen Kingdom,2018,$1310466296
18,Frozen,2013,$1281508100
19,Beauty and the Beast,2017,$1273576220
20,Incredibles 2,2018,$1243089244
21,The Fate of the Furious,2017,$1236005118
22,Iron Man 3,2013,$1214811252
23,Minions,2015,$1159444662
24,Captain America: Civil War,2016,$1153337496
25,Aquaman,2018,$1148528393
26,The Lord of the Rings: The Return of the King,2003,$1146436214
27,Spider-Man: Far from Home,2019,$1131927996
28,Captain Marvel,2019,$1128462972
29,Transformers: Dark of the Moon,2011,$1123794079
30,Jurassic Park,1993,$1109802321
31,Skyfall,2012,$1108569499
32,Transformers: Age of Extinction,2014,$1104054072
33,The Dark Knight Rises,2012,$1081153097
34,Joker,2019,$1074445730
35,Star Wars: Episode IX - The Rise of Skywalker,2019,$1074149279
36,Toy Story 4,2019,$1073394593
37,Toy Story 3,2010,$1066970811
38,Pirates of the Caribbean: Dead Man's Chest,2006,$1066179747
39,The Lion King,1994,$1063611805
40,Rogue One: A Star Wars Story,2016,$1058682142
41,Aladdin,2019,$1050693953
42,Pirates of the Caribbean: On Stranger Tides,2011,$1045713802
43,Despicable Me 3,2017,$1034800131
44,Finding Dory,2016,$1028570942
45,Star Wars: Episode I - The Phantom Menace,1999,$1027082707
46,Alice in Wonderland,2010,$1025468216
47,Zootopia,2016,$1024121104
48,Harry Potter and the Sorcerer's Stone,2001,$1022290019
49,The Hobbit: An Unexpected Journey,2012,$1017030651
50,The Dark Knight,2008,$1006222205
51,Jurassic World Dominion,2022,$997814080
52,Harry Potter and the Deathly Hallows: Part 1,2010,$977070383
53,Despicable Me 2,2013,$970766005
54,The Jungle Book,2016,$966554929
55,Jumanji: Welcome to the Jungle,2017,$962542945
56,The Hobbit: The Battle of the Five Armies,2014,$962201338
57,Pirates of the Caribbean: At World's End,2007,$960996492
58,The Hobbit: The Desolation of Smaug,2013,$959027992
59,Doctor Strange in the Multiverse of Madness,2022,$955775804
60,The Lord of the Rings: The Two Towers,2002,$947896241
61,Harry Potter and the Order of the Phoenix,2007,$942201710
62,Finding Nemo,2003,$940352645
63,Harry Potter and the Half-Blood Prince,2009,$934483039
64,Shrek 2,2004,$928760770
65,Minions: The Rise of Gru,2022,$920339020
66,Bohemian Rhapsody,2018,$910809311
67,The Battle at Lake Changjin,2021,$902548476
68,The Lord of the Rings: The Fellowship of the Ring,2001,$898094742
69,Harry Potter and the Goblet of Fire,2005,$896730264
70,Spider-Man 3,2007,$894983373
71,Ice Age: Dawn of the Dinosaurs,2009,$886686817
72,Spectre,2015,$880681519
73,Spider-Man: Homecoming,2017,$880166924
74,Harry Potter and the Chamber of Secrets,2002,$879928511
75,Ice Age: Continental Drift,2012,$877244782
76,The Secret Life of Pets,2016,$875458631
77,Batman v Superman: Dawn of Justice,2016,$873637528
78,Wolf Warrior 2,2017,$870325439
79,Star Wars: Episode III - Revenge of the Sith,2005,$868390560
80,The Hunger Games: Catching Fire,2013,$865011746
81,Guardians of the Galaxy Vol. 2,2017,$863756051
82,Inside Out,2015,$858848019
83,Venom,2018,$856085151
84,Thor: Ragnarok,2017,$853983879
85,Inception,2010,$836848102
86,Transformers: Revenge of the Fallen,2009,$836303693
87,The Twilight Saga: Breaking Dawn - Part 2,2012,$829747654
88,Spider-Man,2002,$825025036
89,Wonder Woman,2017,$822854286
90,Hi, Mom,2021,$822009764
91,Independence Day,1996,$817400891
92,Fantastic Beasts and Where to Find Them,2016,$814044001
93,Shrek the Third,2007,$813367380
94,Coco,2017,$807817888
95,Jumanji: The Next Level,2019,$800059707
96,Harry Potter and the Prisoner of Azkaban,2004,$797660766
97,Pirates of the Caribbean: Dead Men Tell No Tales,2017,$794881442
98,E.T. the Extra-Terrestrial,1982,$792910554
99,Mission: Impossible - Fallout,2018,$791657398
100,2012,2009,$791217826
101,Indiana Jones and the Kingdom of the Crystal Skull,2008,$790653942
102,Spider-Man 2,2004,$788976453
103,Fast & Furious 6,2013,$788680968
104,Deadpool 2,2018,$785896609
105,Deadpool,2016,$782836791
106,Star Wars: Episode IV - A New Hope,1977,$775398007
107,No Time to Die,2021,$774153007
108,Guardians of the Galaxy,2014,$773350147
109,The Batman,2022,$770836163
110,Thor: Love and Thunder,2022,$760226269
111,The Da Vinci Code,2006,$760006945
112,Fast & Furious Presents: Hobbs & Shaw,2019,$759056935
113,Maleficent,2014,$758411779
114,The Amazing Spider-Man,2012,$757930663
115,The Hunger Games: Mockingjay - Part 1,2014,$755356711
116,Shrek Forever After,2010,$752600867
117,Madagascar 3: Europe's Most Wanted,2012,$746921274
118,Suicide Squad,2016,$746846894
119,X-Men: Days of Future Past,2014,$746045700
120,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe,2005,$745013115
121,Monsters University,2013,$743559645
122,The Matrix Reloaded,2003,$741847937
123,Up,2009,$735099102
124,Ne Zha,2019,$726264074
125,F9: The Fast Saga,2021,$726229501
126,Gravity,2013,$723192705
127,Interstellar,2014,$716218351
128,Captain America: The Winter Soldier,2014,$714421503
129,The Twilight Saga: Breaking Dawn - Part 1,2011,$712205856
130,The Twilight Saga: New Moon,2009,$711025481
131,Dawn of the Planet of the Apes,2014,$710644566
132,Transformers,2007,$709709780
133,The Amazing Spider-Man 2,2014,$708982323
134,It,2017,$701842551
135,The Wandering Earth,2019,$699992512
136,The Twilight Saga: Eclipse,2010,$698491347
137,Mission: Impossible - Ghost Protocol,2011,$694713380
138,The Hunger Games,2012,$694394724
139,Detective Chinatown 3,2021,$686257563
140,Mission: Impossible - Rogue Nation,2015,$682716636
141,Forrest Gump,1994,$678226465
142,Doctor Strange,2016,$677796076
143,The Sixth Sense,1999,$672806432
144,Man of Steel,2013,$668045518
145,Ice Age: The Meltdown,2006,$667094506
146,Kung Fu Panda 2,2011,$665692281
147,Justice League,2017,$657926987
148,Big Hero 6,2014,$657869686
149,Fantastic Beasts: The Crimes of Grindelwald,2018,$654855901
150,Pirates of the Caribbean: The Curse of the Black Pearl,2003,$654264015
151,Star Wars: Episode II - Attack of the Clones,2002,$653779970
152,The Hunger Games: Mockingjay - Part 2,2015,$653428261
153,Thor: The Dark World,2013,$644783140
154,Moana,2016,$643355082
155,Sing,2016,$634338384
156,Kung Fu Panda,2008,$632083197
157,The Incredibles,2004,$631607053
158,The Martian,2015,$630620818
159,Hancock,2008,$629443428
160,Water Gate Bridge,2022,$626571280
161,Fast Five,2011,$626137675
162,Men in Black 3,2012,$624026776
163,Iron Man 2,2010,$623933331
164,Ratatouille,2007,$623726085
165,Ant-Man and the Wasp,2018,$622674139
166,How to Train Your Dragon 2,2014,$621537519
167,Logan,2017,$619179950
168,The Lost World: Jurassic Park,1997,$618638999
169,Casino Royale,2006,$616502912
170,The Passion of the Christ,2004,$612054506
171,Mamma Mia!,2008,$611257819
172,Life of Pi,2012,$609016565
173,Transformers: The Last Knight,2017,$605425157
174,Madagascar: Escape 2 Africa,2008,$603900354
175,War of the Worlds,2005,$603873119
176,Tangled,2010,$592462816
177,Quantum of Solace,2008,$589580482
178,Men in Black,1997,$589390539
179,The Croods,2013,$587235983
180,The Hangover Part II,2011,$586764305
181,Iron Man,2008,$585796247
182,I Am Legend,2007,$585410052
183,Ready Player One,2018,$582918849
184,Monsters, Inc.,2001,$579707738
185,Operation Red Sea,2018,$579330426
186,Night at the Museum,2006,$574481229
187,Fifty Shades of Grey,2015,$569651467
188,Kong: Skull Island,2017,$566652812
189,The Smurfs,2011,$563749323
190,Cars 2,2011,$559852396
191,King Kong,2005,$556906378
192,Puss in Boots,2011,$554987477
193,The Mermaid,2016,$553810228
194,Armageddon,1998,$553709788
195,The Day After Tomorrow,2004,$552639571
196,Ted,2012,$549368315
197,American Sniper,2014,$547459020
198,Mission: Impossible II,2000,$546388108
199,Detective Chinatown 2,2018,$544185156
200,X-Men: Apocalypse,2016,$543934105
201,Sherlock Holmes: A Game of Shadows,2011,$543848418
202,Despicable Me,2010,$543157985
203,Cinderella,2015,$542358331
204,Madagascar,2005,$542063846
205,World War Z,2013,$540455876
206,Brave,2012,$538983207
207,Star Wars: Episode V - The Empire Strikes Back,1980,$538375067
208,The Simpsons Movie,2007,$536414293
209,The Revenant,2015,$532950503
210,The Meg,2018,$530517320
211,Ralph Breaks the Internet,2018,$529323962
212,Hotel Transylvania 3: Summer Vacation,2018,$528583774
213,The Boss Baby,2017,$527965936
214,Dunkirk,2017,$527016307
215,Godzilla,2014,$524976069
216,How to Train Your Dragon: The Hidden World,2019,$524580403
217,Sherlock Holmes,2009,$524028679
218,Meet the Fockers,2004,$522657936
219,WALL·E,2008,$521311890
220,Kung Fu Panda 3,2016,$521170825
221,Terminator 2: Judgment Day,1991,$520881154
222,Ant-Man,2015,$519311965
223,The Grinch,2018,$512858819
224,Venom: Let There Be Carnage,2021,$506863592
225,Ghost,1990,$505703557
226,Aladdin,1992,$504050219
227,Rio 2,2014,$498781117
228,Troy,2004,$497409852
229,Toy Story 2,1999,$497375381
230,How to Train Your Dragon,2010,$494879471
231,Twister,1996,$494580615
232,Oz the Great and Powerful,2013,$493311825
233,Clash of the Titans,2010,$493214993
234,Maleficent: Mistress of Evil,2019,$491730089
235,War for the Planet of the Apes,2017,$490719763
236,Shrek,2001,$488351320
237,Mr. & Mrs. Smith,2005,$487287646
238,Angels & Demons,2009,$485930816
239,Teenage Mutant Ninja Turtles,2014,$485004754
240,Bruce Almighty,2003,$484592874
241,Rio,2011,$483866518
242,Saving Private Ryan,1998,$482349603
243,Rise of the Planet of the Apes,2011,$481800873
244,Home Alone,1990,$476684675
245,Jaws,1975,$476512065
246,Hotel Transylvania 2,2015,$475186706
247,Star Wars: Episode VI - Return of the Jedi,1983,$475106177
248,Charlie and the Chocolate Factory,2005,$474968763
249,Indiana Jones and the Last Crusade,1989,$474171806
250,San Andreas,2015,$474009154
251,It Chapter Two,2019,$473122525
252,Wreck-It Ralph,2012,$471222889
253,Godzilla vs. Kong,2021,$470067014
254,The Hangover,2009,$469328079
255,The Lego Movie,2014,$468266122
256,Bumblebee,2018,$467989645
257,Star Trek Into Darkness,2013,$467365246
258,The Matrix,1999,$467222728
259,Gladiator,2000,$465380802
260,Pretty Woman,1990,$463406268
261,Cars,2006,$461991867
262,The Eight Hundred,2020,$461421559
263,X-Men: The Last Stand,2006,$460435291
264,National Treasure: Book of Secrets,2007,$459242249
265,Lucy,2014,$458863600
266,Mission: Impossible,1996,$457696391
267,300,2007,$456082343
268,The Last Samurai,2003,$454627263
269,Dying to Survive,2018,$451183391
270,Ocean's Eleven,2001,$450717150
271,My People, My Country,2019,$450064993
272,Thor,2011,$449326618
273,Pearl Harbor,2001,$449220945
274,La La Land,2016,$448906865
275,Tarzan,1999,$448191819
276,Demon Slayer the Movie: Mugen Train,2020,$447691934
277,Men in Black II,2002,$445135288
278,The Bourne Ultimatum,2007,$444100035
279,The Mummy Returns,2001,$443280904
280,Alvin and the Chipmunks: The Squeakquel,2009,$443140005
281,Les Misérables,2012,$442299309
282,The Exorcist,1973,$441306145
283,Mrs. Doubtfire,1993,$441286195
284,Terminator Genisys,2015,$440603537
285,Warcraft,2016,$439048914
286,A Star Is Born,2018,$436233122
287,The Greatest Showman,2017,$435732529
288,Terminator 3: Rise of the Machines,2003,$433371112
289,Pokémon Detective Pikachu,2019,$433230304
290,Shang-Chi and the Legend of the Ten Rings,2021,$432243292
291,Die Another Day,2002,$431971116
292,The Secret Life of Pets 2,2019,$430051293
293,Cast Away,2000,$429632142
294,Rampage,2018,$428028233
295,The King's Speech,2010,$427374317
296,The Matrix Revolutions,2003,$427344325
297,The Intouchables,2011,$426588510
298,Bad Boys for Life,2020,$426505244
299,Django Unchained,2012,$426074373
300,Beauty and the Beast,1991,$424967620
301,Dances with Wolves,1990,$424208848
302,My People, My Homeland,2020,$422390820
303,The Chronicles of Narnia: Prince Caspian,2008,$419665568
304,Sex and the City,2008,$418765519
305,The Captain,2019,$417282021
306,The Mummy,1999,$415933406
307,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,$415686217
308,Jason Bourne,2016,$415484914
309,The Wolverine,2013,$414828246
310,Kingsman: The Secret Service,2015,$414351546
311,Night at the Museum: Battle of the Smithsonian,2009,$413106170
312,Batman,1989,$411569241
313,The Bodyguard,1992,$411046449
314,Pacific Rim,2013,$411002906
315,Kingsman: The Golden Circle,2017,$410902662
316,The Mummy,2017,$409231607
317,Ice Age: Collision Course,2016,$408754975
318,Sing 2,2021,$408732707
319,Twilight,2008,$408430415
320,Signs,2002,$408247917
321,X2: X-Men United,2003,$407711549
322,Fantastic Beasts: The Secrets of Dumbledore,2022,$405161334
323,Alita: Battle Angel,2019,$404980543
324,The Mummy: Tomb of the Dragon Emperor,2008,$403449830
325,Prometheus,2012,$403354469
326,Gone with the Wind,1939,$402382193
327,Mamma Mia! Here We Go Again,2018,$402264843
328,Eternals,2021,$402064899
329,Sonic the Hedgehog 2,2022,$401872904
330,Dune,2021,$401847900
331,Uncharted,2022,$401748820
332,TRON: Legacy,2010,$400063852
333,Mission: Impossible III,2006,$398479497
334,Snow White and the Huntsman,2012,$396592829
335,Grease,1978,$396271103
336,Toy Story,1995,$394436586
